Name	Exp_1	Exp_2	Exp_3	Exp_4	Exp_5	Exp_6	Exp_7	Exp_8	Exp_9	Exp_10	Exp_11	Exp_12	Exp_13	Exp_14	Exp_15	Exp_16	Exp_17	Exp_18	Exp_19	Exp_20	Exp_21	Exp_22	Exp_23	Exp_24	Exp_25	Exp_26	Exp_27	Exp_28	Exp_29	Exp_30	Exp_31	Exp_32	Exp_33	Exp_34	Exp_35	Exp_36	Exp_37	Exp_38	Exp_39	Exp_40	Exp_41	Exp_42	Exp_43	Exp_44	Exp_45	Exp_46	Exp_47	Exp_48	Exp_49	Exp_50	Exp_51	Exp_52	Exp_53	Exp_54
15E1.2	-0.169	-0.642	-0.99525	-0.38625	-0.56075	-0.84625	0.11525	-0.13575	-1.55625	-0.98025	-0.70875	-0.808	-1.0025	-1.62375	-1.12325	-0.46925	-1.3155	-1.45725	-0.705	-1.025	-0.425	-1.33775	-0.96625	-0.4535	-1.94975	-1.68775	-0.76975	-0.5335	-0.2975	-0.32725	-1.5745	-1.0445	-0.70225	-0.77775	-0.265	0.6275	0.79625	-1.25825	-0.277	-0.677	-1.2265	-0.6825	-1.799	-0.99025	-0.57275	-1.31225	-0.893	-1.244	-0.4915	-0.45975	-0.75775	-0.80075	0.4845	-0.704
7A5	1.719	0.067	-0.54	0.711	-1.659	-0.3265	2.5125	1.145	-1.3085	2.459	-0.2685	-0.5095	-1.151	0.457	0.0185	0.430849	-1.0155	0.366	1.625	-1.9825	-0.007	-0.0845	0.667	-1.704	0.6355	0.5995	-2.0075	0.263	1.5385	2.7395	1.926	0.592	2.417	1.8995	0.865	2.0525	-0.558	0.874	0.446	1.1535	1.1015	2.7765	-1.5825	0.6685	2.108	0.2995	-0.138	-0.855	2.9335	1.4325	0.8685	-0.7265	-1.1625	-1.5155
A1BG	-1.5568	-1.716	0.420833	-1.715	-2.3234	-2.054	-0.327333	-1.5464	-0.645	-1.83833	-1.3915	-2.06767	-1.45267	0.810333	-0.451167	-0.906	-0.9235	0.134833	-2.13483	-1.7465	-0.935833	-1.29117	-2.16983	-1.763	-1.26017	-2.34733	-2.37733	-1.18083	-2.12	0.758667	-1.89083	-0.124	-1.19717	-1.3615	-0.497833	-1.19967	0.6165	-1.83233	-0.866	-0.565	-2.10883	-0.285667	0.2135	-1.4975	-1.23333	-1.5195	-1.22917	-1.72983	-0.125	-2.21467	0.3795	-1.2604	-1.85717	-1.4035
A2M	0.28475	0.27325	-0.43875	-0.34175	-1.846	-2.44725	-1.443	-0.20975	2.48825	-0.4825	-0.03225	1.63925	-0.27525	0.59725	0.4015	-0.6855	-1.675	-0.614	-1.1155	-1.21125	0.491	0.3355	-0.97575	-0.97375	0.9375	-0.16325	-1.21775	-0.27775	-0.047	2.88525	-1.8655	0.42275	-0.6875	0.14125	-0.911	-1.713	1.8175	-0.1545	-0.23625	0.33825	0.08975	-0.721	0.72725	1.3525	-0.6685	-0.17975	0.01475	-0.305	-1.036	-1.8155	-0.471	-0.274	-0.887	1.228
A4GALT	1.00683	2.79933	1.82	3.443	3.08733	1.861	2.54317	2.85683	0.228167	1.48633	3.26267	2.55183	3.18067	2.19867	4.06367	3.327	0.088	-0.456333	1.426	4.383	3.14917	3.56933	3.28817	2.0125	1.86783	2.24917	0.780333	2.55633	2.68233	0.706167	3.118	2.462	1.847	1.9925	3.26083	3.206	2.41983	2.33767	2.20283	2.914	2.76217	1.23967	1.5635	3.55183	2.01217	2.75883	2.6415	0.952	1.27333	2.66967	1.8425	2.30417	1.9325	0.7155
AADAC	0.58625	-1.409	-0.573	0.6145	-0.60325	-0.34575	1.144	1.91525	0.16825	0.4065	-0.493	0.6115	0.47475	-1.2155	-1.072	0.041	1.22275	0.143	0.239	0.57375	-0.09475	0.64	1.3695	0.072	-0.0395	-1.20625	-0.0145	2.1	0.91575	-0.900667	0.6175	-0.389	-0.32625	-0.3455	0.3795	0.01025	0.61875	-0.43	-0.0805	0.4795	-0.212	-0.1845	0.029	-0.4085	-0.5685	0.14625	-0.236	1.36525	-0.0475	0.3215	-0.137	-0.448	-0.40075	1.032
AADACL1	0.58025	-0.38825	-1.3515	-1.092	-2.43825	2.594	-0.676	-0.60125	1.77325	-0.725	1.38325	-0.32175	-0.2005	-1.216	-0.4055	0.29075	-1.8685	-0.892	-0.51425	-1.26125	-0.433	-0.03025	-0.97925	0.74975	-1.194	0.72825	-1.528	0.0705	1.25825	-0.4515	0.71575	1.27725	0.3645	-0.2315	0.07	-1.1775	3.35075	0.43875	0.5705	0.64475	0.4575	-1.23775	0.68475	-0.413	-0.2215	0.2355	1.25225	-0.16225	0.71575	0.93175	-1.0375	0.37025	-1.65675	1.586
AASS	-2.47075	0.56175	-2.0735	-2.8675	-2.24075	-2.97475	-1.75275	-1.58267	-0.733	-0.72975	-3.4485	-1.13825	-0.7705	-2.23725	-0.63775	-1.965	-1.376	-2.5005	-0.68425	-1.0845	-0.85025	-1.242	-0.41775	-2.1645	-0.67175	-0.10425	0.12475	-1.062	-1.4135	-3.284	-3.927	-0.45075	-3.3085	-1.70525	-3.2685	-2.07625	-0.09425	-0.4915	-2.404	-1.87775	-1.53	-3.09625	-1.29925	-2.874	-1.322	-2.65825	-1.12275	-0.67175	-2.208	-1.08875	-2.5975	-1.3535	-2.1445	-2.0615
AATF	0.5575	-0.64275	-0.812625	-0.2635	-0.3975	-0.45675	-1.06313	-0.18325	-1.12625	-0.312375	-0.522	-0.252	-0.57825	-0.783125	-0.813375	-1.03812	0.6025	-0.459125	-0.22125	-0.596875	-0.5845	-0.505625	-0.263625	-0.53275	-0.23325	-0.580625	-0.332	-0.622	-0.426625	-1.48125	-0.61475	-0.97375	-0.787	-0.367625	-0.864125	-1.59438	-0.26775	-1.19512	0.33575	-0.709	-0.430625	-0.87775	-0.35325	-0.719875	-0.1845	-1.08337	-0.735375	-0.42	0.333375	-0.521	-1.54212	-0.743125	0.74675	-0.371375
ABAT	-0.308333	-0.0239	-0.7085	-1.7026	-3.027	-0.410778	-0.5816	-2.6668	-1.1612	-1.4485	-1.00889	-1.3674	-0.2508	-1.95933	0.206556	-1.48789	-0.5462	-0.6068	-0.5849	-1.22267	0.0737	-1.67489	-0.655444	-2.2741	-1.5463	-0.1929	-0.575	-0.057	-0.754111	-1.9401	-0.9575	-0.9804	-1.63367	-1.0769	-1.2182	-0.4714	-0.3908	-1.1317	-2.0918	-2.2456	-0.3233	-2.5522	-0.2453	-2.08633	-1.578	-1.7736	-1.21522	-0.715	-1.49722	-0.989375	-2.7858	-1.1879	-1.6836	-1.2045
