name,tfName,up5kbNum,down1kbNum,tssPos,geneSymbol
NM_199440,AP-2alpha,1,1,198364998,HSPD1
NM_152486,AP-2alpha,3,0,861120,SAMD11
NM_032129,AP-2alpha,1,1,901876,PLEKHN1
NM_005341,AP-2alpha,1,0,6640062,ZBTB48
NM_080605,AP-2alpha,1,1,1167628,B3GALT6
NM_030649,AP-2alpha,1,1,1243269,ACAP3
NM_024494,AP-2alpha,1,1,113051369,WNT2B
NM_021019,AP-2alpha,1,0,56552044,MYL6
NM_001102368,AP-2alpha,1,0,91580356,C14orf159
NM_030937,AP-2alpha,1,1,1334718,CCNL2
NM_001039577,AP-2alpha,1,1,1334718,CCNL2
NM_003943,AP-2alpha,1,1,77227676,STBD1
NM_003942,AP-2alpha,2,1,64126624,RPS6KA4
NM_001170726,AP-2alpha,1,1,64051810,GPR137
NM_006983,AP-2alpha,1,0,1567559,MMP23B
NM_015130,AP-2alpha,1,1,141677471,TBC1D9
NM_015133,AP-2alpha,1,1,1756220,MAPK8IP3
NM_015171,AP-2alpha,1,1,28223190,XPO6
NM_178545,AP-2alpha,1,1,1850740,TMEM52
NM_001080791,AP-2alpha,1,1,40857252,C15orf57
NM_001160390,AP-2alpha,0,1,63993726,TRPT1
NM_001160355,AP-2alpha,1,1,143781528,LY6K
NM_001160354,AP-2alpha,1,1,143781528,LY6K
NM_182533,AP-2alpha,2,0,2139172,C1orf86
NM_024898,AP-2alpha,1,0,6481798,DENND1C
NM_001010926,AP-2alpha,2,0,2461684,HES5
NM_199006,AP-2alpha,1,0,10490158,APITD1-CORT
NM_001130483,AP-2alpha,1,1,58273776,VRK2
NM_030794,AP-2alpha,1,1,60970590,TDRD3
NM_030803,AP-2alpha,2,1,234160216,ATG16L1
NM_174869,AP-2alpha,1,2,153059967,IDH3G
NM_138440,AP-2alpha,1,0,4421848,VASN
NM_019089,AP-2alpha,1,0,6479979,HES2
NM_020896,AP-2alpha,1,1,3186582,OSBPL5
NM_004050,AP-2alpha,1,0,23775970,BCL2L2
NM_004048,AP-2alpha,1,1,45003684,B2M
NM_000944,AP-2alpha,1,1,102268628,PPP3CA
NM_001098786,AP-2alpha,1,1,128095883,C7orf68
NM_001146083,AP-2alpha,1,0,54693733,MBOAT7
NM_002191,AP-2alpha,1,1,220436953,INHA
NM_013387,AP-2alpha,1,0,30163357,UQCR10
NM_001083600,AP-2alpha,1,1,3507991,NAT15
NM_145649,AP-2alpha,1,1,10521567,GCNT2
NM_145638,AP-2alpha,1,1,3186582,OSBPL5
NM_205863,AP-2alpha,1,1,205410515,PARD3B
NM_001170881,AP-2alpha,1,1,64052284,GPR137
NM_003132,AP-2alpha,0,1,11120091,SRM
NM_001197234,AP-2alpha,0,1,26458152,BTN2A1
NM_005310,AP-2alpha,0,1,37894186,GRB7
NM_020780,AP-2alpha,1,1,11539294,PTCHD2
NM_033182,AP-2alpha,2,0,11714913,FBXO44
NM_183413,AP-2alpha,2,0,11714913,FBXO44
NM_000263,AP-2alpha,0,1,40687950,NAGLU
NM_001077516,AP-2alpha,1,1,33168602,SLC39A7
NM_004589,AP-2alpha,1,1,10600885,SCO1
NM_005493,AP-2alpha,1,1,13711796,RANBP9
NM_017644,AP-2alpha,1,1,183353410,KLHL24
NM_017643,AP-2alpha,1,1,49337427,MBTD1
NM_017641,AP-2alpha,1,1,39837192,KIF21A
NM_022977,AP-2alpha,1,1,108976621,ACSL4
NM_023076,AP-2alpha,0,1,1429684,UNKL
NM_001083608,AP-2alpha,1,1,80416539,NARF
NM_001083613,AP-2alpha,1,1,29973350,TMEM219
NM_001083612,AP-2alpha,1,1,78799905,AGPHD1
NM_000327,AP-2alpha,1,1,62380212,ROM1
NM_001098794,AP-2alpha,1,1,6255941,FAM160A2
NM_006421,AP-2alpha,1,0,68255912,ARFGEF1
NM_015120,AP-2alpha,1,1,73612885,ALMS1
NM_015164,AP-2alpha,1,0,16010826,PLEKHM2
NM_001711,AP-2alpha,1,0,152760346,BGN
NM_001710,AP-2alpha,1,0,31913720,CFB
NM_004451,AP-2alpha,0,1,64073043,ESRRA
NM_003848,AP-2alpha,1,1,67705038,SUCLG2
NM_001913,AP-2alpha,1,1,101459183,CUX1
NM_001912,AP-2alpha,1,1,90340973,CTSL1
NM_001146151,AP-2alpha,2,0,153170528,AVPR2
NM_001146116,AP-2alpha,1,1,47878861,DIP2A
NM_002970,AP-2alpha,2,1,23801274,SAT1
NM_003070,AP-2alpha,0,1,2015341,SMARCA2
NM_004311,AP-2alpha,1,1,104474190,ARL3
NM_004309,AP-2alpha,0,1,79829282,ARHGDIA
NM_014683,AP-2alpha,0,1,19771239,ULK2
NM_021158,AP-2alpha,0,1,361307,TRIB3
NM_001174166,AP-2alpha,1,1,66287405,SLC16A6
NM_025165,AP-2alpha,1,1,44069502,ELL3
NM_004852,AP-2alpha,0,1,55102916,ONECUT2
NM_004850,AP-2alpha,1,1,11484711,ROCK2
NM_001204088,AP-2alpha,1,1,19923470,C1orf15-NBL1
NM_001204089,AP-2alpha,1,1,19923470,C1orf15-NBL1
NM_001198989,AP-2alpha,1,1,34287287,NFS1
NM_134446,AP-2alpha,1,1,150067289,CD99L2
NM_006153,AP-2alpha,1,1,136581049,NCK1
NM_004260,AP-2alpha,1,0,145743210,RECQL4
NM_173667,AP-2alpha,1,1,60933635,C5orf64
NM_173660,AP-2alpha,1,0,3465032,DOK7
NM_173654,AP-2alpha,1,1,69062774,C3orf64
NM_003895,AP-2alpha,1,1,34100351,SYNJ1
NM_003718,AP-2alpha,1,1,39989958,CDK13
NM_007236,AP-2alpha,1,1,41523436,CHP
NM_031419,AP-2alpha,1,1,101568357,NFKBIZ
NM_015180,AP-2alpha,1,1,64319682,SYNE2
NM_000847,AP-2alpha,1,0,52774496,GSTA3
NM_001204099,AP-2alpha,1,0,66586465,CKLF-CMTM1
NM_001204098,AP-2alpha,1,0,66586465,CKLF-CMTM1
NM_001134830,AP-2alpha,1,1,135818903,AHI1
NM_000411,AP-2alpha,1,1,38362536,HLCS
NM_178326,AP-2alpha,1,1,242577026,ATG4B
NM_207354,AP-2alpha,1,0,67056761,ANKRD13D
NM_005368,AP-2alpha,1,0,36013384,MB
NM_054014,AP-2alpha,1,1,1373816,FKBP1A
NM_003032,AP-2alpha,1,1,186739664,ST6GAL1
NM_024037,AP-2alpha,1,1,26185848,C1orf135
NM_001519,AP-2alpha,0,1,105767329,BRF1
NM_005999,AP-2alpha,1,1,231664398,TSNAX
NM_031286,AP-2alpha,0,1,26606212,SH3BGRL3
NM_144650,AP-2alpha,1,0,67344717,ADHFE1
NM_144648,AP-2alpha,1,1,133812104,LRGUK
NM_144645,AP-2alpha,1,1,87813575,C4orf36
NM_005517,AP-2alpha,1,1,26798901,HMGN2
NM_003900,AP-2alpha,1,1,179247841,SQSTM1
NM_021149,AP-2alpha,1,0,84651669,COTL1
NM_032125,AP-2alpha,1,1,27648635,TMEM222
NM_014680,AP-2alpha,1,1,26972173,KIAA0100
NM_033496,AP-2alpha,0,1,71075609,HK1
NM_033506,AP-2alpha,2,1,100183955,FBXO24
NM_001083585,AP-2alpha,1,1,5185557,RABEP1
NM_001195220,AP-2alpha,1,1,148959261,ZNF783
NM_001747,AP-2alpha,1,1,85637676,CAPG
NM_138578,AP-2alpha,1,1,30310656,BCL2L1
NM_001186,AP-2alpha,1,1,30671219,BACH1
NM_000392,AP-2alpha,2,1,101542462,ABCC2
NM_006500,AP-2alpha,1,1,119187840,MCAM
NM_001204138,AP-2alpha,1,0,47808144,MBD1
NM_152787,AP-2alpha,1,1,30907511,TAB3
NM_001199514,AP-2alpha,1,1,35201875,TGIF2
NM_001199513,AP-2alpha,1,1,35201875,TGIF2
NM_002858,AP-2alpha,1,1,94883932,ABCD3
NM_001199649,AP-2alpha,1,1,142011412,PTK2
NM_006762,AP-2alpha,0,1,31230683,LAPTM5
NM_002015,AP-2alpha,1,1,41240734,FOXO1
NM_001915,AP-2alpha,1,1,61523722,CYB561
NM_002014,AP-2alpha,0,1,2904107,FKBP4
NM_004814,AP-2alpha,1,0,31769644,SNRNP40
NM_001204414,AP-2alpha,1,0,32042085,TINAGL1
NM_022164,AP-2alpha,1,0,32042085,TINAGL1
NM_001193523,AP-2alpha,1,1,67563539,FAM65A
NM_015635,AP-2alpha,1,1,128024110,GAPVD1
NM_001178008,AP-2alpha,0,1,44496472,CBS
NM_015243,AP-2alpha,1,1,100025493,VPS13B
NM_003864,AP-2alpha,0,1,174292092,SAP30
NM_030786,AP-2alpha,1,1,33168361,SYNC
